id,full_name,user_name,password,role_id,email,phone_number,address
C0219783,Nguyen Van Hai,haimientay,$2a$12$/G0a7kUcp8SX4qt56/rkN.NyR.0r0Any2DIYuzT6I9ZDOrI212KLe,6,haimientay@gmail.com,06237123423,"Ngoc Hien, Ca Mau"
C2130385,William Saliba,SalibaARS2,$2a$12$DjbfEfEG.teFfouMGTjfQuZhvJkmLa9DCDmZB4joZ1UqPKObpDI/i,5,saliba2@arsenal.org.uk,0923761986,"Hornsey Rd, London N7 7AJ, UK"
C2118384,Gabriel Magalhaes,gabrielARS6,$2a$12$7rKvcsPu/TYH1ALexhTnAONSL82uBoWWJWpfkHBcwn7KRg87FOAEe,5,gabriel6@arsenal.org.uk,0822308277,"Hornsey Rd, London N7 7AJ, UK"
C8530775,Ben White,whiteARS5,$2a$12$lIvCnxLgtvchrrjBhXZhC.9SbSwCEnNhCY5t9XuNXkQF6b2Uhp6ra,5,benwhite5@arsenal.org.uk,0786958047,"Hornsey Rd, London N7 7AJ, UK"
C4112614,Declan Rice,declanriceARS41,$2a$12$WabS7hCdva0FI1BOkNllX.o4e7Bkm6K1dPfHxxWtKTcvTF1Egf076,5,declanrice41@arsenal.org.uk,0837812300,"Hornsey Rd, London N7 7AJ, UK"
C0561387,Bukayo Saka,sakaARS7,$2a$12$C4Sxt9B5qjSOZYrZtBIyO.vbiNFdxWGnn20v0.GfhqJFz7KaRLPU.,5,saka7@arsenal.org.uk,0852720859,"Hornsey Rd, London N7 7AJ, UK"
T128726,Le Van Thang,vanthang,$2a$12$cL4QHDLTvptV73T/9RILjeVjhtem17jHCMLSu2k.jvLpY1NC2Sk1C,3,vanthang@gmail.com,0987762514,802 Cu Xa
C5979870,Kai Havertz,haivertzARS29,$2a$12$.hAtVUSxG446EHK3Z5hqluh4MSHZ2gv/KU2Qda8KSgmMIBMS3Isfy,6,kaiharvertz29@arsenal.org.uk,0352611972,"Hornsey Rd, London N7 7AJ, UK"
C3258160,Jorginho,jorginhoARS5,$2a$12$Ql.IkqYjlb3CFJK6hGB1GuyWMrCv1ynhEUCIXwkKyyv2vb/Lj5KEu,6,jorginho5@arsenal.org.uk,0352899011,"Hornsey Rd, London N7 7AJ, UK"
C5703393,Takehiro Tomiyasu,tomiyasuARS18,$2a$12$Wgt6YycpYgdyUNgyHxn4NuL1FFE.nAH3WXkc6Sv/v2Yynf//He..S,6,tomiyasu18@arsenal.org.uk,0349511928,"Hornsey Rd, London N7 7AJ, UK"
C1063808,Jakub Kiwior,kiwiorARS15,$2a$12$E1TiEreh8fFtg2Fb/UkOSO7nS9viicPS85iLKTQ32u./02AJ3i7My,6,kiwior15@arsenal.org.uk,0343728565,"Hornsey Rd, London N7 7AJ, UK"
C9116624,Oleksandr Zinchenko,zinchenkoARS35,$2a$12$5dO3ayy1GzYrKXjIF9ouGeCGVFWyYJh5eDcQ9psj5d6MtomEPFocS,6,zinchenko35@arsenal.org.uk,0784077609,"Hornsey Rd, London N7 7AJ, UK"
C9003825,Gabriel Martinelli,martinelliARS11,$2a$12$d6vBndYENaW.bE1XjXM3U.vs9swySYYtdrUXb3Gv8n3o/.tmOGuta,6,martinelli11@arsenal.org.uk,0559365682,"Hornsey Rd, London N7 7AJ, UK"
C1000101,System Admin,admin,$2a$12$WminNhNb/4ZMe45mRZ3HjOTHmOtwjXOqIu2k2uFOcj0mXF8VfZ9AG,1,helloadmin123@gmail.com,093638298,"707 Đ. Nguyễn Văn Linh, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh"
